Date, Open, High, Low, Close
2021-11-09,3267.92,3273.54,3239.71,3243.42
2021-11-08,3251.85,3270.65,3250.39,3263.9
2021-11-05,3234.41,3242.34,3242.34,3242.34
2021-11-03,3234.28,3236.86,3216.86,3219.69
2021-11-02,3225.67,3233.0,3213.26,3232.37
2021-11-01,3226.23,3229.09,3207.71,3219.05
2021-10-29,3198.17,3227.03,3198.17,3198.17
2021-10-28,3220.38,3227.13,3196.18,3203.82
2021-10-27,3206.06,3228.05,3202.69,3218.17
2021-10-26,3200.23,3209.29,3186.28,3204.57
2021-10-25,3202.51,3209.96,3197.24,3201.86
2021-10-22,3195.36,3205.14,3205.14,3205.14
2021-10-21,3203.92,3188.5,3188.5,3188.5
2021-10-20,3212.67,3213.33,3191.89,3198.08
2021-10-19,3195.45,3205.64,3185.39,3199.01
2021-10-18,3174.3,3179.0,3163.11,3173.82
2021-10-15,3180.55,3173.91,3173.91,3173.91
2021-10-14,3148.34,3170.52,3136.04,3164.86
2021-10-13,3122.78,3161.27,3122.56,3156.42
2021-10-12,3102.29,3112.05,3088.7,3112.05
2021-10-11,3118.57,3124.62,3110.39,3113.49
2021-10-08,3110.82,3112.81,3112.81,3112.81
2021-10-07,3099.99,3118.52,3098.81,3101.15
2021-10-06,3082.58,3091.35,3066.38,3083.88
2021-10-05,3071.93,3071.93,3047.38,3068.12
2021-10-04,3079.99,3102.47,3079.62,3089.65
2021-10-01,3051.11,3076.88,3044.73,3051.11
2021-09-30,3090.32,3086.7,3086.7,3086.7
2021-09-29,3080.88,3074.31,3074.31,3074.31
2021-09-28,3085.44,3098.58,3074.7,3077.69
2021-09-27,3100.3,3106.55,3069.32,3100.3
2021-09-24,3089.32,3061.35,3061.35,3061.35
2021-09-23,3076.44,3092.22,3057.36,3076.44
2021-09-22,3048.05,3058.68,3037.79,3048.05
2021-09-21,3039.96,3069.56,3038.04,3063.2
2021-09-20,3041.73,3075.46,3038.15,3041.73
2021-09-17,3071.23,3071.23,3054.6,3071.23
2021-09-16,3065.22,3064.54,3064.54,3064.54
2021-09-15,3058.61,3071.22,3052.78,3058.61
2021-09-14,3087.07,3080.37,3080.37,3080.37
2021-09-13,3074.31,3093.59,3063.55,3074.31
2021-09-10,3085.62,3098.8,3098.8,3098.8
2021-09-09,3071.7,3082.68,3060.05,3071.7
2021-09-08,3092.78,3068.94,3068.94,3068.94
2021-09-07,3108.53,3108.53,3084.41,3108.53
2021-09-06,3079.15,3101.08,3101.08,3101.08
2021-09-03,3089.94,3093.62,3076.03,3083.85
2021-09-02,3093.46,3088.84,3088.84,3088.84
2021-09-01,3087.84,3093.42,3055.01,3087.84
2021-08-31,3088.23,3055.05,3055.05,3055.05
2021-08-30,3092.0,3102.11,3102.11,3102.11
2021-08-27,3089.91,3080.77,3080.77,3080.77
2021-08-26,3114.6,3109.42,3109.42,3109.42
2021-08-25,3121.36,3107.49,3107.49,3107.49
2021-08-24,3105.24,3107.62,3107.62,3107.62
2021-08-23,3087.56,3118.08,3087.16,3087.56
2021-08-20,3106.84,3102.75,3102.75,3102.75
2021-08-19,3110.38,3086.97,3086.97,3086.97
2021-08-18,3117.28,3158.25,3116.56,3131.44
2021-08-17,3138.58,3118.51,3118.51,3118.51
2021-08-16,3139.23,3145.52,3145.52,3145.52
2021-08-13,3167.03,3165.49,3165.49,3165.49
2021-08-12,3190.23,3182.8,3182.8,3182.8
2021-08-11,3204.76,3180.0,3180.0,3180.0
2021-08-10,3187.53,3207.36,3207.36,3207.36
2021-08-06,3175.0,3183.12,3167.49,3177.18
2021-08-05,3186.65,3175.1,3175.1,3175.1
2021-08-04,3154.6,3182.9,3182.9,3182.9
